review_id,product_id,rating,user_id,review_date,option,moisturizing,texture,scent,review_content,review_content_jp
R00001,1057459512,5,yu**,2025.01.12,01 애플캔디,만족합니다,만족합니다,만족합니다,"패키지가 사탕처럼 귀여워서 기분이 올라가요. 발랐을 때 촉촉하고 윤기가 오래가서 만족!","パッケージが飴みたいで可愛い。ツヤが長持ちして満足"
R00002,1057459512,5,mi**,2025.01.20,03 피치소다,만족합니다,만족합니다,보통,"발색이 자연스럽고 입술이 마르지 않아요. 지속력도 좋아요","発色が自然で乾燥しない。色持ちも良い"
R00003,1057459512,4,ko**,2025.02.03,02 베리잼,만족합니다,만족합니다,만족합니다,"촉촉하고 예쁜데 용량이 조금 적은 게 아쉬워요","しっとりして可愛いけど容量が少ないのが残念"
R00004,1057459512,2,sa**,2025.02.10,05 레드체리,불만족,보통,보통,"색은 예쁜데 발랐더니 입술이 따갑고 건조해졌어요","色は綺麗だけど塗ったら唇がヒリヒリして乾燥した"
R00005,1057459512,5,na**,2025.02.18,01 애플캔디,만족합니다,만족합니다,만족합니다,"유리알처럼 반짝이는 윤기! 글로스보다 안 끈적여서 좋아요","ガラス玉みたいなツヤ！グロスよりベタつかない"
R00006,1057459512,4,ha**,2025.03.01,04 코랄밀크,만족합니다,보통,만족합니다,"색이 은은하게 혈색돌아 보여요. 향이 과일향이라 좋음","ほんのり血色感が出る。フルーティーな香りが良い"
R00007,1057459512,3,ju**,2025.03.09,05 레드체리,보통,보통,보통,"기대보다 형광기 도는 색이라 호불호 갈릴 듯","思ったより蛍光っぽい色で好みが分かれそう"
R00008,1057459512,5,ye**,2025.03.15,03 피치소다,만족합니다,만족합니다,만족합니다,"건조한 편인데도 안 건조했어요. 데일리로 쟁여둘 예정","乾燥肌だけど乾かなかった。デイリーにリピ予定"
R00009,1057459512,4,so**,2025.03.22,02 베리잼,만족합니다,만족합니다,보통,"틴트인데 촉촉함이 오래가요. 색 지속도 괜찮아요","ティントなのにしっとりが続く。色持ちも良い"
R00010,1057459512,1,da**,2025.04.02,05 레드체리,불만족,불만족,보통,"바르고 나서 입술 각질이 일어나고 따가웠어요. 저는 안 맞네요","塗った後に皮むけしてヒリついた。私には合わない"
R00011,1057459512,5,ri**,2025.04.08,01 애플캔디,만족합니다,만족합니다,만족합니다,"통통 발리고 거울 본 듯 광택. 사진 잘 나와요","ぷるんと塗れて鏡みたいなツヤ。写真映えする"
R00012,1057459512,4,mi**,2025.04.14,04 코랄밀크,만족합니다,만족합니다,만족합니다,"순하고 발색 좋아요. 다만 가격이 살짝 부담","優しくて発色も良い。ただ値段が少し高い"
R00013,1057459512,5,ka**,2025.04.20,03 피치소다,만족합니다,만족합니다,만족합니다,"입술 컨디션이 좋아 보여요. 색감도 데일리로 딱","唇のコンディションが良く見える。色もデイリー向き"
R00014,1057459512,3,yo**,2025.05.01,02 베리잼,보통,보통,불만족,"향이 생각보다 인공적이라 살짝 거슬렸어요","香りが思ったより人工的で少し気になった"
R00015,1057459512,4,ai**,2025.05.07,01 애플캔디,만족합니다,만족합니다,보통,"윤기 최고. 다만 먹으면 살짝 색이 빠져요","ツヤ最高。ただ飲み物で少し色落ちする"
R00016,1057459512,5,ru**,2025.05.13,04 코랄밀크,만족합니다,만족합니다,만족합니다,"바를수록 입술이 촉촉해지는 느낌. 재구매 의사 100%","塗るほど唇が潤う感じ。リピ確定"
R00017,1057459512,5,na**,2025.05.19,03 피치소다,만족합니다,만족합니다,만족합니다,"발색 자연스럽고 지속력 좋아 하루 한두번만 덧발라요","発色自然で色持ち良く一日1〜2回の塗り直しで済む"
R00018,1057459512,2,se**,2025.05.25,05 레드체리,불만족,보통,보통,"색은 마음에 드는데 입술 트는 느낌이라 아쉬워요","色は好きだけど唇が荒れる感じで残念"
R00019,1057459512,4,ha**,2025.06.01,02 베리잼,만족합니다,만족합니다,만족합니다,"맑은 발색에 윤기까지. 패키지도 예뻐서 선물했어요","クリアな発色にツヤも。パッケージも可愛くてギフトにした"
R00020,1057459512,5,mi**,2025.06.03,01 애플캔디,만족합니다,만족합니다,만족합니다,"촉촉 윤기 끝판왕. 가벼운데 발색은 확실해요","しっとりツヤ最強。軽いのに発色はしっかり"
R00021,1135003693,5,ko**,2025.02.21,06 우롱라이치,만족합니다,만족합니다,만족합니다,"밀키한 질감에 부드러운 발색. 입술 부담 없어요","ミルキーな質感で柔らかい発色。負担がない"
R00022,1135003693,4,yu**,2025.03.05,07 자몽소다,만족합니다,보통,만족합니다,"콜라보 패키지 너무 예뻐요. 발색은 은은한 편","コラボパッケージが可愛い。発色は控えめ"
R00023,1135003693,3,ri**,2025.03.18,06 우롱라이치,보통,보통,보통,"무난한데 특별히 인상적이진 않았어요","無難だけど特に印象的ではなかった"
R00024,1135003693,5,so**,2025.04.10,08 무드브라운,만족합니다,만족합니다,보통,"가을 무드 컬러 최고. 텍스처가 쫀쫀해요","秋ムードカラー最高。テクスチャがもっちり"
R00025,1135003693,4,da**,2025.04.27,07 자몽소다,만족합니다,만족합니다,만족합니다,"가볍게 발리고 촉촉함 유지. 향도 상큼","軽く塗れて潤いキープ。香りも爽やか"
R00026,1135003693,2,ye**,2025.05.09,08 무드브라운,불만족,보통,보통,"바를 때 약간 쓴맛이 느껴졌어요. 건조함도 살짝","塗るとき少し苦味を感じた。乾燥も少し"
R00027,1135003693,5,ai**,2025.05.22,06 우롱라이치,만족합니다,만족합니다,만족합니다,"휴지로 닦아도 색이 남을 만큼 지속력 좋아요","ティッシュで拭いても色が残るほど色持ちが良い"
R00028,1135003693,4,ka**,2025.06.02,07 자몽소다,만족합니다,만족합니다,보통,"데일리로 좋아요. 다만 풀발색은 아니라 레이어링 필요","デイリーに良い。ただフル発色ではなく重ね塗り必要"
R00029,1036494829,5,ru**,2025.01.30,쥬시드롭 09 망고,만족합니다,만족합니다,만족합니다,"물방울 같은 촉촉 윤기. SNS에서 보고 샀는데 만족","水滴みたいなツヤ。SNSで見て買って満足"
R00030,1036494829,4,se**,2025.03.12,쥬시드롭 10 와인,만족합니다,보통,만족합니다,"발색 진하고 예뻐요. 살짝 끈적이는 느낌은 있음","発色が濃くて綺麗。少しベタつきはある"
